,municipio,sub_category,keyword,latitude,longitude,name
87,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.8116184,-75.6664246,operador turístico
88,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0461512,-75.5135629,operador turístico
89,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0490543,-75.5062772,operador turístico
90,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0685598,-75.5153972,operador turístico
91,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.815174,-75.705297,operador turístico
92,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.9822956,-75.60408939999999,operador turístico
93,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0691029,-75.51557729999999,operador turístico
94,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.051854,-75.4842175,operador turístico
95,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0586878,-75.4875113,operador turístico
96,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0562324,-75.5086474,operador turístico
97,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0690253,-75.5156368,operador turístico
98,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.052651399999999,-75.4851468,operador turístico
99,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.8142564,-75.6938337,operador turístico
100,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0572333,-75.48551189999999,operador turístico
101,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.84469,-75.72979,operador turístico
102,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0542539,-75.4854352,operador turístico
103,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0438708,-75.5234505,operador turístico
104,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.066343499999999,-75.51726529999999,operador turístico
105,CHINCHINÁ,Transporte turístico,"""transporte turístico"", ""transporte especial"", ""chiva rumbera"", ""bus turístico"", ""tour en willys""",5.039582999999999,-75.5101452,transporte turístico
106,CHINCHINÁ,Transporte turístico,"""transporte turístico"", ""transporte especial"", ""chiva rumbera"", ""bus turístico"", ""tour en willys""",4.810663799999999,-75.7590781,transporte turístico
107,CHINCHINÁ,Transporte turístico,"""transporte turístico"", ""transporte especial"", ""chiva rumbera"", ""bus turístico"", ""tour en willys""",4.8744727,-75.6237184,transporte turístico
108,CHINCHINÁ,Culturales,"""museo"", ""monumento"", ""centro histórico"", ""pueblo patrimonio"", ""feria artesanal""",5.067069,-75.5191112,museo
109,CHINCHINÁ,Culturales,"""museo"", ""monumento"", ""centro histórico"", ""pueblo patrimonio"", ""feria artesanal""",5.0681695,-75.5175284,museo
110,CHINCHINÁ,Culturales,"""museo"", ""monumento"", ""centro histórico"", ""pueblo patrimonio"", ""feria artesanal""",5.0670544,-75.506528,museo
111,CHINCHINÁ,Culturales,"""museo"", ""monumento"", ""centro histórico"", ""pueblo patrimonio"", ""feria artesanal""",4.8933991,-75.6267165,museo
112,CHINCHINÁ,Culturales,"""museo"", ""monumento"", ""centro histórico"", ""pueblo patrimonio"", ""feria artesanal""",5.0769247,-75.527788,museo
113,CHINCHINÁ,Culturales,"""museo"", ""monumento"", ""centro histórico"", ""pueblo patrimonio"", ""feria artesanal""",5.0620028,-75.49999919999999,museo
114,CHINCHINÁ,Culturales,"""museo"", ""monumento"", ""centro histórico"", ""pueblo patrimonio"", ""feria artesanal""",4.811031,-75.6769695,museo
115,CHINCHINÁ,Culturales,"""museo"", ""monumento"", ""centro histórico"", ""pueblo patrimonio"", ""feria artesanal""",5.062195099999999,-75.4981974,museo
116,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0613113,-75.49653239999999,masajes terapéuticos
117,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0529446,-75.4871074,masajes terapéuticos
118,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0627719,-75.4887467,masajes terapéuticos
119,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.074138,-75.518935,masajes terapéuticos
120,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0817239,-75.5242936,masajes terapéuticos
121,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",4.8106421,-75.677264,masajes terapéuticos
122,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.057269499999999,-75.4862878,masajes terapéuticos
123,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0614764,-75.49509139999999,masajes terapéuticos
124,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",4.9853011,-75.60774719999999,masajes terapéuticos
125,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",4.8512097,-75.6553076,masajes terapéuticos
126,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",4.8348399,-75.6728029,masajes terapéuticos
127,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0621957,-75.5004555,masajes terapéuticos
128,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0633823,-75.5002261,masajes terapéuticos
129,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.042076499999999,-75.4963815,masajes terapéuticos
130,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0622644,-75.49551989999999,masajes terapéuticos
131,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0507156,-75.5015054,masajes terapéuticos
132,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0629027,-75.49906229999999,masajes terapéuticos
133,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0611289,-75.5187186,masajes terapéuticos
134,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",4.8200121,-75.7027796,masajes terapéuticos
135,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",5.0460578,-75.5004854,masajes terapéuticos
136,CHINCHINÁ,Tratamientos y terapias de relajación,"""masajes terapéuticos"", ""aromaterapia y reflexología"", ""fangoterapia"", ""hidroterapia"", ""spa""",4.8345264,-75.67241020000002,masajes terapéuticos
